interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
GJD2_GJD2	Gap-junction-protein	ligand-receptor	GJD2	1	1	GJD2	1	1
GJD3_GJD3	Gap-junction-protein	ligand-receptor	GJD3	1	1	GJD3	1	1
GJD4_GJD4	Gap-junction-protein	ligand-receptor	GJD4	1	1	GJD4	1	1
GJE1_GJE1	Gap-junction-protein	ligand-receptor	GJE1	1	1	GJE1	1	1
Ach_CHRNA1	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA1	1	1
Ach_CHRNA2	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA2	1	1
Ach_CHRNA3	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA3	1	1
Ach_CHRNA4	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA4	1	1
Ach_CHRNA5	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA5	1	1
Ach_CHRNA6	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA6	1	1
Ach_CHRNA7	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA7	1	1
Ach_CHRNA9	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA9	1	1
Ach_CHRNA10	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNA10	1	1
Ach_CHRNB1	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNB1	1	1
Ach_CHRNB2	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNB2	1	1
Ach_CHRNB3	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNB3	1	1
Ach_CHRNB4	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNB4	1	1
Ach_CHRND	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRND	1	1
Ach_CHRNE	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNE	1	1
