Source,Receiver,Ligand,Target
Excitatory Layer 5-6 IT neurons I,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
Excitatory Layer 5-6 IT neurons II,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons I,GABA,GABA-A_a1b3g2S_complex
Inhibitory VIP neurons,Excitatory Layer 5-6 IT neurons I,GABA,GABA-A_a1b3g2S_complex
Inhibitory PVALB neurons,Excitatory Layer 5-6 CT and NP neurons,GABA,GABA-A_a1b2d_complex
Inhibitory VIP neurons,Excitatory Layer 5-6 CT and NP neurons,GABA,GABA-A_a1b2d_complex
Excitatory Layer 2-3 IT neurons I,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 2-3 IT neurons II,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 3-4 IT neurons,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 3-6 IT neurons,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 5-6 CT and NP neurons,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 5-6 IT neurons I,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 5-6 IT neurons II,Inhibitory SST neurons,Glu,GRM1
Excitatory Layer 2-3 IT neurons I,Inhibitory SST neurons,Glu,GRIN3A
Excitatory Layer 2-3 IT neurons II,Inhibitory SST neurons,Glu,GRIN3A
Excitatory Layer 3-4 IT neurons,Inhibitory SST neurons,Glu,GRIN3A
Excitatory Layer 3-6 IT neurons,Inhibitory SST neurons,Glu,GRIN3A
Excitatory Layer 5-6 CT and NP neurons,Inhibitory SST neurons,Glu,GRIN3A
Excitatory Layer 5-6 IT neurons I,Inhibitory SST neurons,Glu,GRIN3A
Excitatory Layer 5-6 IT neurons II,Inhibitory SST neurons,Glu,GRIN3A
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABA-A_a3b3g2S_complex
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABA-A_a3b3g2S_complex
Astrocytes,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Endothelial and mural cells,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Inhibitory LAMP5 neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Inhibitory VIP neurons,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Microglial cells,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
